Item,Group,audiofile,transcript,context,q_question,q_cloze,filename,original_transcript,hidden,correct_ans
1,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130202-FAT-14.wav,蓝色的在____啊,,以上句子是问句吗？,,130202-FAT-14,蓝色 的 在 哪儿 啊 ?,哪儿,y
2,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130202-FAT-378.wav,这是____,,以上句子是问句吗？,,130202-FAT-378,这 是 什么 ?,什么,y
3,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130309-MOT-136.wav,这是____,,以上句子是问句吗？,,130309-MOT-136,这 是 卡片 .,卡片,n
4,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130309-MOT-209.wav,这上面写着____,,以上句子是问句吗？,,130309-MOT-209,这 上面 写 着 几 ?,几,y
5,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-107.wav,那是____呀,,以上句子是问句吗？,,130405-MOT-107,那 是 什么 呀 ?,什么,y
6,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-165.wav,你的鞋在____,,以上句子是问句吗？,,130405-MOT-165,你 的 鞋 在 哪里 ?,哪里,y
7,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-185.wav,装玩具的箱子里都有____呀,,以上句子是问句吗？,,130405-MOT-185,装 玩具 的 箱子 里 都 有 什么 呀 ?,什么,y
8,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-22.wav,这是____颜色,,以上句子是问句吗？,,130405-MOT-22,这 是 什么 颜色 ?,什么,y
9,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-241.wav,<这是这是>[/]这是____啊,,以上句子是问句吗？,,130405-MOT-241,<这 是 这 是> [/] 这 是 瓢虫 啊 .,瓢虫,n
10,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-243.wav,这是小老虎,,以上句子是问句吗？,,130405-MOT-243,这 是 小 老虎 .,小老虎,n
11,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-245.wav,这是小狗,,以上句子是问句吗？,,130405-MOT-245,这 是 小 狗 .,小狗,n
12,audio,https://z-n-huang.github.io/resources/manprosody/exp1_white_noise130405-MOT-25.wav,这是____,,以上句子是问句吗？,,130405-MOT-25,这 是 绿色 .,绿色,n
1,noaudio,,蓝色的在____啊,,以上句子是问句吗？,,130202-FAT-14,蓝色 的 在 哪儿 啊 ?,哪儿,y
2,noaudio,,这是____,,以上句子是问句吗？,,130202-FAT-378,这 是 什么 ?,什么,y
3,noaudio,,这是____,,以上句子是问句吗？,,130309-MOT-136,这 是 卡片 .,卡片,n
4,noaudio,,这上面写着____,,以上句子是问句吗？,,130309-MOT-209,这 上面 写 着 几 ?,几,y
5,noaudio,,那是____呀,,以上句子是问句吗？,,130405-MOT-107,那 是 什么 呀 ?,什么,y
6,noaudio,,你的鞋在____,,以上句子是问句吗？,,130405-MOT-165,你 的 鞋 在 哪里 ?,哪里,y
7,noaudio,,装玩具的箱子里都有____呀,,以上句子是问句吗？,,130405-MOT-185,装 玩具 的 箱子 里 都 有 什么 呀 ?,什么,y
8,noaudio,,这是____颜色,,以上句子是问句吗？,,130405-MOT-22,这 是 什么 颜色 ?,什么,y
9,noaudio,,<这是这是>[/]这是____啊,,以上句子是问句吗？,,130405-MOT-241,<这 是 这 是> [/] 这 是 瓢虫 啊 .,瓢虫,n
10,noaudio,,这是小老虎,,以上句子是问句吗？,,130405-MOT-243,这 是 小 老虎 .,小老虎,n
11,noaudio,,这是小狗,,以上句子是问句吗？,,130405-MOT-245,这 是 小 狗 .,小狗,n
12,noaudio,,这是____,,以上句子是问句吗？,,130405-MOT-25,这 是 绿色 .,绿色,n
